	Genus	Species	# segments	segmented
0	Actinovirus	Perch actinovirus	3	yes
1	Alfamovirus	Alfalfa mosaic virus	3	yes
2	Alphachrysovirus	Alphachrysovirus anthurii	3	yes
3	Alphachrysovirus	Alphachrysovirus aspergilli	4	yes
4	Alphachrysovirus	Alphachrysovirus brassicae	3	yes
5	Alphachrysovirus	Alphachrysovirus cerasi	4	yes
6	Alphachrysovirus	Alphachrysovirus chrysothricis	4	yes
7	Alphachrysovirus	Alphachrysovirus colletotrichi	3	yes
8	Alphachrysovirus	Alphachrysovirus cryphonectriae	4	yes
9	Alphachrysovirus	Alphachrysovirus fusarii	3	yes
10	Alphachrysovirus	Alphachrysovirus helminthosporii	4	yes
11	Alphachrysovirus	Alphachrysovirus isariae	4	yes
12	Alphachrysovirus	Alphachrysovirus macrophominae	4	yes
13	Alphachrysovirus	Alphachrysovirus penicillii	4	yes
14	Alphachrysovirus	Alphachrysovirus perseae	3	yes
15	Alphachrysovirus	Alphachrysovirus raphani	3	yes
16	Alphachrysovirus	Alphachrysovirus saladoense	4	yes
17	Alphachrysovirus	Alphachrysovirus shuangaoense	4	yes
18	Alphachrysovirus	Alphachrysovirus verticillii	4	yes
19	Alphachrysovirus	Alphachrysovirus zeae	3	yes
20	Alphainfluenzavirus	Alphainfluenzavirus influenzae	8	yes
21	Alphanodavirus	Black beetle virus	2	yes
22	Alphanodavirus	Boolarra virus	2	yes
23	Alphanodavirus	Flock House virus	2	yes
24	Alphanodavirus	Nodamura virus	2	yes
25	Alphanodavirus	Pariacoto virus	2	yes
26	Alphapartitivirus	Beet cryptic virus 1	2	yes
27	Alphapartitivirus	Carrot cryptic virus	2	yes
28	Alphapartitivirus	Cherry chlorotic rusty spot associated partitivirus	2	yes
29	Alphapartitivirus	Chondrostereum purpureum cryptic virus 1	2	yes
30	Alphapartitivirus	Flammulina velutipes browning virus	2	yes
31	Alphapartitivirus	Helicobasidium mompa partitivirus V70	1	yes
32	Alphapartitivirus	Heterobasidion partitivirus 1	2	yes
33	Alphapartitivirus	Heterobasidion partitivirus 12	2	yes
34	Alphapartitivirus	Heterobasidion partitivirus 13	2	yes
35	Alphapartitivirus	Heterobasidion partitivirus 15	2	yes
36	Alphapartitivirus	Heterobasidion partitivirus 3	2	yes
37	Alphapartitivirus	Rosellinia necatrix partitivirus 2	2	yes
38	Alphapartitivirus	Vicia cryptic virus	2	yes
39	Alphapartitivirus	White clover cryptic virus 1	2	yes
40	Alphapermutotetravirus	Thosea asigna virus	2	yes
41	Antennavirus	Hairy antennavirus	3	yes
42	Antennavirus	Salmon antennavirus	3	yes
43	Antennavirus	Striated antennavirus	3	yes
44	Anulavirus	Amazon lily mild mottle virus	3	yes
45	Anulavirus	Anulavirus GLPV	3	yes
46	Anulavirus	Pelargonium zonate spot virus	3	yes
47	Aquabirnavirus	Infectious pancreatic necrosis virus	2	yes
48	Aquabirnavirus	Tellina virus	1	yes
49	Aquabirnavirus	Yellowtail ascites virus	2	yes
50	Aquareovirus	Aquareovirus A	11	yes
51	Aquareovirus	Aquareovirus B	10	yes
52	Aquareovirus	Aquareovirus C	11	yes
53	Aquareovirus	Aquareovirus E	11	yes
54	Aquareovirus	Aquareovirus G	11	yes
55	Ascovirus	Trichoplusia ni ascovirus 2a	2	yes
56	Atadenovirus	Possum atadenovirus A	2	yes
57	Avibirnavirus	Infectious bursal disease virus	2	yes
58	Babuvirus	Abaca bunchy top virus	6	yes
